名次,昵称,组别,总分,最后提交时间
1,广告位招租,,2578,2024-02-14 21:11:45
2,黑小虎,,2028,2024-02-15 10:25:48
3,ᕕ(◠ڼ◠)ᕗ,,1721,2024-02-14 13:48:30
4,Sky233,,1488,2024-02-13 22:19:10
5,MengXiqwq,,1327,2024-02-14 11:07:49
6,test,,1258,2024-02-14 16:55:37
7,lwl,,1149,2024-02-14 19:08:01
8,墨伊,,1001,2024-02-14 17:05:42
9,泠鹇,,974,2024-02-16 22:03:01
10,WZTong,,967,2024-02-15 11:49:44
11,hujiayucc,,931,2024-02-16 21:18:50
12,和我签订契约成为魔法少女吧,,908,2024-02-15 23:20:08
13,Chr0n0s,,653,2024-02-16 10:17:26
14,Yoav,,641,2024-02-13 19:08:16
15,魔法少女挚爱究极大猛男,,584,2024-02-14 02:10:07
16,3mssSti,,533,2024-02-13 22:29:35
17,LongEP,,503,2024-02-13 23:07:09
18,我想把回忆拼好给你,,482,2024-02-11 14:04:03
19,zzz,,453,2024-02-09 22:46:40
20,U1yss3s,,431,2024-02-11 01:50:07
21,hongzh0,,401,2024-02-11 14:19:29
22,lacrimosa,,387,2024-02-09 22:26:06
23,W3ndL0u,,330,2024-02-15 16:16:44
24,sikuai,,313,2024-02-09 18:37:24
25,C1oudfL0w0,,313,2024-02-12 18:31:54
26,MiguoQAQ,,265,2024-02-15 14:40:46
27,Dawn-JuicyMio,,233,2024-02-09 17:49:33
28,CTFrookie,,233,2024-02-10 00:48:18
29,rota,,225,2024-02-13 18:19:53
30,大过年的，不会真有人坐牢打比赛吧,,222,2024-02-14 00:59:15
31,NR289,,190,2024-02-13 22:00:34
32,Delay_no_more,,172,2024-02-10 10:52:11
33,Sh1n3zZ,,145,2024-02-09 20:08:11
34,罗小黑,,145,2024-02-09 23:53:56
35,xmmlaz,,124,2024-02-15 23:28:04
36,S0rry,,101,2024-02-09 17:13:59
37,W1ndys,,101,2024-02-09 17:16:57
38,neko,,101,2024-02-09 19:08:14
39,OSLike,,101,2024-02-09 19:09:06
40,Crypto0,,101,2024-02-09 21:59:02
41,p0l1st,,101,2024-02-11 11:44:54
42,C-LBY,,101,2024-02-12 15:04:59
43,yyzqlk,,85,2024-02-14 08:24:31
44,Ailerx,,66,2024-02-09 19:15:49
45,zzzzzzlf,,66,2024-02-09 21:33:52
46,粤韵风华,,66,2024-02-10 01:36:38
47,P1sc3s007,,66,2024-02-10 22:05:19
48,Xc,,66,2024-02-11 21:25:28
49,Wandering,,66,2024-02-12 15:31:56
50,奔跑的大熊猫,,50,2024-02-13 18:10:57
51,XiaomaiTX,,44,2024-02-09 18:49:30
52,Aero XiaoYi,,44,2024-02-10 17:45:04
53,{{}},,35,2024-02-09 17:02:53
54,youxue,,35,2024-02-09 17:05:40
55,O3SET,,35,2024-02-09 17:13:04
56,lynyie,,35,2024-02-09 17:39:27
57,hybcx,,35,2024-02-09 18:27:54
58,Delete,,35,2024-02-09 20:50:00
59,icynano,,35,2024-02-10 01:22:04
60,优索菈,,35,2024-02-10 01:37:45
61,hgjazhgj,,35,2024-02-10 01:45:21
62,AkagiYui,,35,2024-02-10 01:59:12
63,onlooker,,35,2024-02-10 02:03:48
64,11123,,35,2024-02-10 02:12:32
65,huihuilikaile,,35,2024-02-10 10:17:40
66,returns-0,,35,2024-02-10 11:04:33
67,Bernkastel,,35,2024-02-10 22:10:50
68,0xred,,35,2024-02-12 09:26:37
69,house_fz,,35,2024-02-14 00:11:38
